(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
(47.65405, -122.305565)
